time,ax,ay,az,gx,gy,gz,vib,label
0.0,1.15283203125,0.07421875,0.22412109375,-3.0381679389312977,-30.984732824427482,1.381679389312977,1.1767584203188264,0
0.01,0.30419921875,0.0322265625,-0.162109375,0.061068702290076333,-32.35114503816794,12.50381679389313,0.34620104777653027,0
0.02,1.48876953125,-0.061279296875,-0.359375,-0.22900763358778625,3.7480916030534353,0.03816793893129771,1.5327557731187442,0
0.03,1.124267578125,-0.00927734375,-0.1171875,-0.26717557251908397,5.244274809160306,-3.404580152671756,1.130396641222168,0
0.04,0.9111328125,0.03564453125,-0.18115234375,-0.4351145038167939,0.1450381679389313,0.31297709923664124,0.9296503139720389,0
0.05,0.955322265625,0.015869140625,-0.192138671875,0.007633587786259542,0.5038167938931297,2.122137404580153,0.974581823169788,0
0.06,0.984130859375,0.00146484375,-0.18017578125,-0.7633587786259542,4.366412213740458,-0.7175572519083969,1.000489383397163,0
0.07,0.978515625,0.02001953125,-0.17529296875,-0.9465648854961832,2.4656488549618323,0.9389312977099237,0.9942943401698507,0
0.08,0.99169921875,0.0185546875,-0.185791015625,-0.3969465648854962,1.9236641221374047,1.282442748091603,1.0091233415121028,0
0.09,0.985107421875,0.009521484375,-0.17529296875,-0.7938931297709924,3.0839694656488548,0.08396946564885496,1.0006272613671392,0
0.1,0.99853515625,0.010009765625,-0.180419921875,-0.7175572519083969,2.7099236641221376,0.9007633587786259,1.0147531728871118,0
0.11,0.982177734375,0.010009765625,-0.188720703125,-0.4961832061068702,2.2442748091603053,0.816793893129771,1.0001943816568206,0
0.12,0.9814453125,0.010009765625,-0.17431640625,-0.48091603053435117,2.8091603053435112,0.5038167938931297,0.9968557098818289,0
0.13,0.9716796875,0.012939453125,-0.18701171875,-0.816793893129771,2.3893129770992365,0.4961832061068702,0.9895970025707944,0
0.14,0.982177734375,0.0126953125,-0.19287109375,-0.5267175572519084,2.2213740458015265,0.6183206106870229,1.0010162494514272,0
0.15,0.968994140625,0.012939453125,-0.18310546875,-0.8320610687022901,2.633587786259542,0.5877862595419847,0.9862275025058436,0
0.16,0.982177734375,0.014404296875,-0.188232421875,-0.732824427480916,2.4885496183206106,0.6030534351145038,1.0001560029892334,0
0.17,0.970947265625,0.013427734375,-0.18994140625,-0.6335877862595419,2.450381679389313,0.7633587786259542,0.9894425877651201,0
0.18,0.970703125,0.010498046875,-0.186279296875,-1.0916030534351144,2.549618320610687,0.7862595419847328,0.9884709112144877,0
0.19,0.96923828125,0.013427734375,-0.188232421875,-0.5343511450381679,2.5572519083969465,0.6717557251908397,0.9874384003753488,0
0.2,0.985107421875,0.01025390625,-0.203125,-0.6030534351145038,2.5419847328244276,0.6335877862595419,1.0058834628581945,0
0.21,0.99755859375,0.010498046875,-0.177734375,-0.5877862595419847,2.885496183206107,0.4122137404580153,1.013322685529791,0
0.22,0.984375,0.014892578125,-0.185791015625,-0.5648854961832062,2.5267175572519083,0.6793893129770993,1.0018653756843672,0
0.23,0.98828125,0.01171875,-0.19970703125,-0.9083969465648855,2.6946564885496183,0.7404580152671756,1.0083253723544863,0
0.24,0.987060546875,0.009765625,-0.181396484375,-0.7251908396946565,2.648854961832061,0.6717557251908397,1.0036376712601138,0
0.25,0.984619140625,0.013671875,-0.182373046875,-0.6412213740458015,2.6564885496183206,0.648854961832061,1.0014597847530375,0
0.26,0.98291015625,0.0126953125,-0.186279296875,-0.46564885496183206,2.6564885496183206,0.7786259541984732,1.000486642920892,0
0.27,0.984619140625,0.0126953125,-0.173095703125,-0.6259541984732825,2.564885496183206,0.7786259541984732,0.9997990525525239,0
0.28,0.98046875,0.01123046875,-0.185302734375,-0.6870229007633588,2.8625954198473282,0.6717557251908397,0.9978888698255728,0
0.29,0.984375,0.012939453125,-0.184814453125,-0.7251908396946565,2.7786259541984735,0.5954198473282443,1.001657602255415,0
0.3,0.983154296875,0.01171875,-0.173095703125,-0.8473282442748091,2.786259541984733,0.6183206106870229,0.9983445412309702,0
0.31,0.98046875,0.01123046875,-0.190673828125,-0.6335877862595419,2.5801526717557253,0.6030534351145038,0.9989001961591304,0
